StudentID,LastName,FirstName,CumGPA,BcpmGPA,MMICalc,RosterYear,GraduationYear,Graduated,GraduationLength,Status
918,,,3.89,,0.74,2015,2019,True,4.0,Grad
266,,,3.6,,0.79,2015,2019,True,4.0,Grad
495,,,3.44,,0.79,2015,2019,True,4.0,Grad
390,,,3.96,,,2015,2019,True,4.0,Grad
103,,,3.83,,0.78,2015,2019,True,4.0,Grad
548,,,3.42,,0.72,2015,2019,True,4.0,Grad
532,,,3.64,,0.75,2015,2019,True,4.0,Grad
229,,,3.99,,0.77,2015,2019,True,4.0,Grad
912,,,3.32,,0.77,2015,2020,True,5.0,Grad Delayed
866,,,3.57,,0.82,2015,2020,True,5.0,Grad Delayed (enrich)
348,,,3.15,,0.88,2015,2019,True,4.0,Grad
268,,,3.14,,0.75,2015,2019,True,4.0,Grad
187,,,3.77,,0.67,2015,2019,True,4.0,Grad
481,,,3.93,,,2015,,False,,Drop
253,,,3.99,,0.73,2015,2019,True,4.0,Grad
825,,,3.56,,0.74,2015,,False,,Drop
734,,,3.69,,0.78,2015,2019,True,4.0,Grad
716,,,3.94,,0.75,2015,2019,True,4.0,Grad
929,,,2.46,,0.79,2015,2020,True,5.0,Grad Delayed
210,,,3.93,,,2015,2019,True,4.0,Grad
627,,,3.81,,0.82,2015,2020,True,5.0,Grad Delayed (enrich)
252,,,3.1,,0.82,2015,2019,True,4.0,Grad
110,,,4.0,,0.74,2015,2019,True,4.0,Grad
282,,,3.98,,,2015,2019,True,4.0,Grad
221,,,3.94,,,2015,2019,True,4.0,Grad
539,,,2.53,,0.64,2015,2021,True,6.0,Grad Delayed
560,,,3.75,,0.75,2015,2019,True,4.0,Grad
577,,,3.43,,0.69,2015,2019,True,4.0,Grad
411,,,3.49,,0.88,2015,2019,True,4.0,Grad
158,,,3.94,,0.79,2015,2019,True,4.0,Grad
521,,,3.92,,,2015,2020,True,5.0,Grad Delayed
307,,,3.75,,0.74,2015,2019,True,4.0,Grad
444,,,3.84,,0.72,2015,2020,True,5.0,Grad Delayed (enrich)
182,,,3.06,,0.77,2015,2020,True,5.0,Grad Delayed
679,,,3.77,,0.72,2015,2019,True,4.0,Grad
284,,,3.7,,0.64,2015,2019,True,4.0,Grad
490,,,2.31,,0.86,2015,2019,True,4.0,Grad
487,,,3.02,,0.81,2015,2021,True,6.0,Grad Delayed
711,,,3.81,,0.82,2015,2019,True,4.0,Grad
228,,,3.76,,0.82,2015,2019,True,4.0,Grad
392,,,3.33,,0.64,2015,2019,True,4.0,Grad
714,,,3.58,,0.64,2015,2019,True,4.0,Grad
686,,,3.82,,0.66,2015,2019,True,4.0,Grad
850,,,3.79,,,2015,2019,True,4.0,Grad
504,,,3.88,,0.66,2015,2019,True,4.0,Grad
